	subject	mask_name	condition	score	chance_score
328	20	hp	pre_age	0.515625	0.5
329	20	hp	pre_category	0.5625	0.5
330	20	hp	current_age	0.4375	0.5
331	20	hp	current_category	0.625	0.5
332	20	dlPFC	pre_age	0.53125	0.5
333	20	dlPFC	pre_category	0.515625	0.5
334	20	dlPFC	current_age	0.625	0.5
335	20	dlPFC	current_category	0.609375	0.5
336	20	FFA/PPA	pre_age	0.546875	0.5
337	20	FFA/PPA	pre_category	0.625	0.5
338	20	FFA/PPA	current_age	0.609375	0.5
339	20	FFA/PPA	current_category	0.671875	0.5
340	21	mofc	pre_age	0.44166666666666665	0.5083333333333333
341	21	mofc	pre_category	0.603125	0.4916666666666667
342	21	mofc	current_age	0.4447916666666667	0.4916666666666667
343	21	mofc	current_category	0.634375	0.5083333333333333
344	21	lofc	pre_age	0.5864583333333333	0.5083333333333333
345	21	lofc	pre_category	0.4583333333333333	0.4916666666666667
346	21	lofc	current_age	0.509375	0.4916666666666667
347	21	lofc	current_category	0.5239583333333333	0.5083333333333333
348	21	hp	pre_age	0.4125	0.5083333333333333
349	21	hp	pre_category	0.6333333333333333	0.4916666666666667
350	21	hp	current_age	0.3802083333333333	0.4916666666666667
351	21	hp	current_category	0.4927083333333333	0.5083333333333333
352	21	dlPFC	pre_age	0.525	0.5083333333333333
353	21	dlPFC	pre_category	0.4916666666666667	0.4916666666666667
354	21	dlPFC	current_age	0.5072916666666667	0.4916666666666667
355	21	dlPFC	current_category	0.6697916666666667	0.5083333333333333
356	21	FFA/PPA	pre_age	0.50625	0.5083333333333333
357	21	FFA/PPA	pre_category	0.621875	0.4916666666666667
358	21	FFA/PPA	current_age	0.415625	0.4916666666666667
359	21	FFA/PPA	current_category	0.8239583333333333	0.5083333333333333
360	22	mofc	pre_age	0.4375	0.5
361	22	mofc	pre_category	0.546875	0.5
362	22	mofc	current_age	0.453125	0.5
363	22	mofc	current_category	0.640625	0.5
364	22	lofc	pre_age	0.546875	0.5
365	22	lofc	pre_category	0.546875	0.5
