subject	mask_name	aa_rdm	bb_rdm	cc_rdm	dd_rdm
8	FFA-PPA	-0.01079523437500014	-0.0057001171874998605	-0.009824492187499695	-0.01279148437500005
9	mofc	0.03240562499999986	-0.007337968749999778	-0.006627343749999796	-0.006023125000000129
9	lofc	0.030590156249999872	0.014231328125000171	-0.005195546874999676	0.012181406249999971
9	hp	0.01106539062499988	0.0018911328125000779	0.0008086328125002339	-0.0037633593749999417
9	dlPFC	0.055123281249999906	0.032369765625000164	-0.01336835937499968	0.017668281249999862
9	FFA-PPA	0.0443401953124999	-0.0027405273437498615	-0.013356464843749761	0.009014882812499958
10	mofc	-0.004649648437500105	0.01885330078125022	0.006247363281250383	-0.0012524609375002549
10	lofc	0.01760996093749996	-0.0033914257812498946	-0.0010923632812497256	0.0031108984374998983
10	hp	0.012726367187499945	-2.5390624991405986e-07	0.005393808593750259	0.003361054687499837
10	dlPFC	0.03632699218749992	0.008592246093750068	0.008755058593750222	-0.005355820312499954
10	FFA-PPA	0.021463749999999955	-0.008730468749999928	0.007541406250000236	-0.0008712499999999901
11	mofc	0.010054492187499906	-0.010085410156249731	-0.01914884765624967	0.008409804687499911
11	lofc	0.007632539062499839	-0.001021386718749788	-0.008650449218749683	0.017080976562499905
11	hp	0.026822656249999917	-0.016558828124999883	-0.007340703124999754	-0.0049854687499999994
11	dlPFC	0.021106406249999893	-0.006539921874999896	-0.012611171874999674	0.031133906249999843
11	FFA-PPA	0.017238398437499903	-0.000751425781249794	-0.016573613281249677	0.015962460937499867
12	mofc	0.006910742187499874	-0.0038735351562498993	0.00030115234375030844	0.0015348046874998356
12	lofc	0.028855078124999926	0.03129019531250005	0.019648945312500294	-0.0035292968750001152
12	hp	0.0066353515624998985	0.0005043945312502504	-0.0009646679687497287	0.000810039062499962
12	dlPFC	0.0393767578124999	0.04226181640625022	0.00410525390625029	0.004397070312499932
12	FFA-PPA	-0.003672031250000169	0.00295070312500028	0.0035988281250002724	-0.003092656250000131
14	mofc	-0.015231953125000103	-0.0015673828124996916	0.000743867187500356	-0.006951953125000118
14	lofc	0.0001256249999998689	0.00030359375000015704	-0.0030814062499996495	0.006191874999999847
14	hp	0.011844335937499988	-0.007084238281249801	0.014235449218750269	0.0010046484374999776
14	dlPFC	0.010518320312499874	0.01303791015625018	0.006194472656250271	-0.003582617187500081
14	FFA-PPA	0.003109882812499864	0.007878535156250213	0.008036972656250288	-0.004258554687499971
15	mofc	0.00894843749999984	-0.000724999999999823	-0.006470624999999709	0.005282812499999817
15	lofc	0.016308710937499835	0.001017949218750265	-0.007466113281249796	0.0189140234374999
15	hp	0.0035807031249998865	-1.4023437499698088e-05	-0.008877773437499684	0.010115078124999899
15	dlPFC	0.048373984374999957	-0.006342695312499931	-0.0009008203124997727	0.01088773437499993
15	FFA-PPA	0.014192421874999885	0.011029648437500386	-0.005442851562499674	0.019901171874999957
16	mofc	0.024617343749999916	-0.0008786718749997716	0.0024150781250002248	0.0026385937499999734
16	lofc	0.029509531249999908	0.02471726562500011	0.009616015625000309	0.013613281249999887
16	hp	0.014252304687499898	0.0004989648437501437	-0.0019213476562496765	5.261718749999256e-05
16	dlPFC	0.04085785156249985	0.00774923828125023	-0.013896074218749629	0.03693441406249995
16	FFA-PPA	0.056570742187499856	-0.0017083789062498356	-0.013964316406249736	0.03146917968749993
17	mofc	-0.003922304687500162	0.003458691406250214	-0.009935996093749695	0.0035236328124998717
17	lofc	-0.011585078125000165	0.0027683984375002635	-0.00973222656249973	0.0012599218749999447
17	hp	0.01648820312499993	-0.0052948046874998975	-0.0031860546874997505	-0.004743046875000129
17	dlPFC	0.010101601562499892	0.00411330078125019	0.0032573632812503313	0.0002981640624999393
17	FFA-PPA	-0.0029333593750001247	-0.0006182421874997776	-0.006095117187499645	0.005309765624999907
18	mofc	0.018155234374999968	0.00240589843750022	0.015252148437500269	0.0018277343750000008
18	lofc	0.007479609374999894	0.013091523437500217	-0.0018578515624996551	-0.0007903906250001091
18	hp	0.00814785156249987	0.0028564257812502686	0.01689923828125029	0.009336914062499896
18	dlPFC	0.005985468749999858	0.025416015625000267	0.0014141406250003843	0.011896093749999836
18	FFA-PPA	0.018147539062499878	-0.012358261718749784	-0.013209824218749755	0.012652851562499928
20	mofc	0.030446992187499924	0.008821464843750189	-0.009690097656249667	0.0042479296874999295
20	lofc	0.03276097656249993	0.00995486328125017	-0.0006991992187497	0.01656003906250003
20	hp	0.01062558593749988	0.0028635742187501576	-0.010876113281249721	-0.0018541015625000712
20	dlPFC	0.038336445312499884	0.002589316406250153	-0.013527246093749721	0.010631757812500059
